index,Name,City,Latitude,Longitude,Category,Address,Country,Country2,City2,Query
0,Northwestern University School of Professional Studies,Chicago,41.89644047843919,-87.61851316070026,University,339 E Chicago Ave,United States,United States of America,Chicago,university
0,Moody Bible Institute,Chicago,41.897635979096115,-87.63317324774313,University,820 N La Salle Dr,United States,United States of America,Chicago,university
0,Moody Theological Seminary,Chicago,41.89766681378936,-87.6338137495484,University,820 N La Salle Dr,United States,United States of America,Chicago,university
0,Northwestern University Loop Campus,Chicago,41.878927128318644,-87.63022639149943,University,210 S Clark St.,United States,United States of America,Chicago,university
0,Notre Dame Law School Chicago,Chicago,41.898021,-87.617923,University,224 S Michigan Ave,United States,United States of America,Chicago,university
0,Journalism Department - The Congress Building (C),Chicago,41.875648745239936,-87.62618662902804,University,33 E Congress Pkwy,United States,United States of America,Chicago,university
0,Gleacher Center,Chicago,41.88966048968031,-87.62180113257357,College Academic Building,450 N Cityfront Plaza Dr,United States,United States of America,Chicago,university
0,DEPAUL UNIVERSITY,,41.880711976446115,-87.62835806726558,College Cafeteria,20 E. Jackson,United States,United States of America,Chicago,university
0,Three First National Plaza,Chicago,41.881974285709404,-87.63021254138985,Office,70 W Madison St,United States,United States of America,Chicago,university
0,School of Business Administration,Chicago,41.897401754784205,-87.62795022689994,University,1 E Pearson St,United States,United States of America,Chicago,university
0,UIC - Art & Architecture Building,Chicago,41.873598595441855,-87.64896624101208,University,845 W Harrison St,United States,United States of America,Chicago,university
0,University Center,Chicago,41.87489004588637,-87.62759975657971,College Residence Hall,525 S State St,United States,United States of America,Chicago,university
0,Loyola University Chicago Alumni Relations,Chicago,41.89744225228721,-87.62514502531886,College Administrative Building,111 E Pearson St,United States,United States of America,Chicago,university
0,DeVry University Chicago Loop Center,Chicago,41.88289547,-87.63511725,University,225 West Washington Street,United States,United States of America,Chicago,university
0,Northwestern University Medill Chicago,Chicago,41.88766752749252,-87.62152790743711,University,303 E Wacker Dr,United States,United States of America,Chicago,university
0,Illinois Media School,Chicago,41.8751076,-87.6279569,University,530 South State Street,United States,United States of America,Chicago,university
0,Northwestern Memorial Hospital Feinberg Pavillion,Chicago,41.89450286672721,-87.62128293514246,Hospital,251 E Huron St Fl 7,United States,United States of America,Chicago,hospital
0,Northwestern Prentice Women's Hospital,Chicago,41.89624784593415,-87.62072503566748,Hospital,250 E Superior St,United States,United States of America,Chicago,hospital
0,Custom Eyes 20/20 - Lasalle,Chicago,41.8841189,-87.6331814,Hospital,134 N. Lasalle St.,United States,United States of America,Chicago,hospital
0,Northweatern Memorial Hospital - Nephrology,Chicago,41.88332326843879,-87.63422820055266,Hospital,,United States,United States of America,Chicago,hospital
0,"Elyse T. Esrig, MD",Chicago,41.8815962,-87.630245,Hospital,20 S Clark St Fl 11,United States,United States of America,Chicago,hospital
0,One Medical,Chicago,41.88167161294157,-87.63348966836935,Hospital,"181 W Madison St, Suite 3825",United States,United States of America,Chicago,hospital
0,MetisMD,Chicago,41.88863667179156,-87.63227462768555,Hospital,415 N La Salle Dr Ste 502,United States,United States of America,Chicago,hospital
0,Drug Rehab Chicago IL,Chicago,41.8799781582065,-87.63755321502686,Hospital,150 S Wacker Dr,United States,United States of America,Chicago,hospital
0,"CENTRAL INFUSION ALLIANCE, INC.",Chicago,41.8911538,-87.6246149,Hospital,500 N Michigan Ave,United States,United States of America,Chicago,hospital
0,Mercy Hospital & Medical Center,Chicago,41.87233357698321,-87.62939807675622,Hospital,47 W Polk St,United States,United States of America,Chicago,hospital
0,Northwestern Memorial Hospital,Chicago,41.8943406,-87.6216388,Hospital,251 E Huron St,United States,United States of America,Chicago,hospital
0,The oaks,Chicago,41.871815000000005,-87.630127,Hospital,830 S Park Terrace,United States,United States of America,Chicago,hospital
0,Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago,41.8964884257121,-87.6215136051178,Hospital,225 E Chicago Ave Fl 2,United States,United States of America,Chicago,hospital
0,Custom Eyes 20/20 - River North,Chicago,41.8927297,-87.6279158,Hospital,607 N. State St.,United States,United States of America,Chicago,hospital
0,"Shaemah Z. Khan, DO",Chicago,41.89345569172221,-87.62933580137246,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Dennis A. Peacock, MD",Chicago,41.89345361550726,-87.62932732148016,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Binisa Shah, MD",Chicago,41.8934596849295,-87.62932547485138,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"David M. Vester, MD",Chicago,41.89348663907242,-87.62929462944771,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"John T. Downing, DO",Chicago,41.8935096,-87.6292953,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Huma Razzaq, MD",Chicago,41.893517586407654,-87.62936414337833,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Aleksandar Radovic, MD",Chicago,41.893521,-87.629318,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,One Medical,Chicago,41.889758985346965,-87.63224110768533,Hospital,"415 LaSalle Street, Suite 100",United States,United States of America,Chicago,hospital
0,"Marco A. Cordero, MD",Chicago,41.893531,-87.629318,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Christina Taufen, DO",Chicago,41.893538921842335,-87.62927809325407,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,"Claire Wong, DO",Chicago,41.89365452476481,-87.62929879122953,Hospital,635 N Dearborn St Ste 100,United States,United States of America,Chicago,hospital
0,Galter Pavilion - Northwestern Memorial Hospital,Chicago,41.8945727,-87.6210548,Hospital,"675 N Saint Clair St, 17th Fl, Suite 250",United States,United States of America,Chicago,hospital
0,Northwestern Hospital,Chicago,41.89411651707037,-87.63035341884755,Hospital,,United States,United States of America,Chicago,hospital
0,"CTCA Outpatient Care Center, Downtown Chicago",Chicago,41.8912122,-87.6228415,Hospital,160 East Illinois Street,United States,United States of America,Chicago,hospital
0,Rush University Medical,Chicago,41.8919232310269,-87.62961837391019,Hospital,539 N Dearborn St,United States,United States of America,Chicago,hospital
0,Northwestern Neurological Surgery,Chicago,41.89467734261872,-87.62277158344871,Hospital,675 N Saint Clair St,United States,United States of America,Chicago,hospital
0,Same Day Surgery (NWMH Galter Pavilion 5th Floor),Chicago,41.894607,-87.622362,Hospital,675 N Saint Clair St,United States,United States of America,Chicago,hospital
0,Northwestern Medical - general medicine,Chicago,41.894733,-87.622671,Hospital,675 N Saint Clair St Fl 18 Ste 200,United States,United States of America,Chicago,hospital
0,North Western Hospital,Chicago,41.894574,-87.62151800000001,Hospital,245 E Huron St,United States,United States of America,Chicago,hospital
0,"James G. Delis, DO",Chicago,41.893822,-87.619271,Hospital,635 N Fairbanks Ct,United States,United States of America,Chicago,hospital
0,Laboratory Services 18th Floor,Chicago,41.894799426685445,-87.62244379615498,Hospital,675 N Saint Clair St,United States,United States of America,Chicago,hospital
0,Room 1315 Northwestern Hospital,Chicago,41.89400305714286,-87.61942524285716,Hospital,321 E Erie St,United States,United States of America,Chicago,hospital
0,Northwestern Center for Neurological Pain Management,Chicago,41.895124,-87.622581,Hospital,,United States,United States of America,Chicago,hospital
0,radiology patient reception scheduled and walk-in,Chicago,41.894971,-87.621747,Hospital,,United States,United States of America,Chicago,hospital
0,Interventional Radiology,Chicago,41.894482,-87.619942,Hospital,,United States,United States of America,Chicago,hospital
0,Shirley Ryan AbilityLab,Chicago,41.8938889737462,-87.61842762102326,Hospital,355 E Erie Street,United States,United States of America,Chicago,hospital
0,Perfect Personality Profile,Chicago,41.89307729913167,-87.61672854423523,Hospital,445 E Ohio St Ste 304,United States,United States of America,Chicago,hospital
0,"Prentice Women's Hospital, Chemo Ward",Chicago,41.8960760465293,-87.62098800654576,Hospital,250 E Superior St,United States,United States of America,Chicago,hospital
0,Center For Simulation And Immersive Learning,Chicago,41.89497822503612,-87.62098093097036,Hospital,,United States,United States of America,Chicago,hospital
0,Prentice Women's Hospital Room 1398,Chicago,41.896121,-87.620902,Hospital,,United States,United States of America,Chicago,hospital
0,Feinberg Pavilion,Chicago,41.89511435087258,-87.62127360887807,Hospital,,United States,United States of America,Chicago,hospital
0,Same day surgery waiting  area. Feinberg pavilion,Chicago,41.89513397216797,-87.6213150024414,Hospital,,United States,United States of America,Chicago,hospital
0,Well Ahead Health Solutions,Chicago,41.8681851,-87.6331811,Hospital,1136 S. Delano Court,United States,United States of America,Chicago,hospital
0,Concentra Urgent Care,Chicago,41.881035,-87.642916,Hospital,614 W Monroe St,United States,United States of America,Chicago,hospital
0,prentice recovery room 2,Chicago,41.89561080932617,-87.6214599609375,Hospital,,United States,United States of America,Chicago,hospital
0,Rehabilitation Institute of Chicago,Chicago,41.89547544620622,-87.61803490216712,Hospital,345 E Superior St,United States,United States of America,Chicago,hospital
0,Northwestern University Center for Translational Imaging,Chicago,41.895419,-87.620285,Hospital,,United States,United States of America,Chicago,hospital
0,Northwestern Medical Group,Chicago,41.8964734079509,-87.62612644768511,Hospital,,United States,United States of America,Chicago,hospital
0,Olson Pavilion,Chicago,41.895452922538105,-87.62032612254747,Hospital,710 N Fairbanks Ct,United States,United States of America,Chicago,hospital
0,The Ambulatory Surgery Center at Olson Pavilion,Chicago,41.8954637259231,-87.62010583333662,Hospital,"710 N Fairbanks Ct, Northwestern University Chicago Campus, Chicago, IL 60611",United States,United States of America,Chicago,hospital
0,"Galter Pavilion, 8th Floor",Chicago,41.8960752160317,-87.6220919042389,Hospital,675 N Saint Clair St,United States,United States of America,Chicago,hospital
0,Northwestern Prentice Women's Hospital Labor & Delivery,Chicago,41.89579741325789,-87.620944621376,Hospital,250 E Superior St Fl 8,United States,United States of America,Chicago,hospital
0,NMG,Chicago,41.896524277932016,-87.62470451661142,Hospital,,United States,United States of America,Chicago,hospital
0,Northwestern Prentice Women's Hospital Postpartum 13,Chicago,41.895849443482675,-87.6211133412494,Hospital,,United States,United States of America,Chicago,hospital
0,Prentice Women's Hospital OB Triage,Chicago,41.89580391681376,-87.62091569790663,Hospital,,United States,United States of America,Chicago,hospital
0,Triage,Chicago,41.89588806785939,-87.62087231266825,Hospital,250 E Superior St,United States,United States of America,Chicago,hospital
0,Northwestern Memorial Hosp. Family Waiting Room,Chicago,41.89593263151101,-87.62068430949302,Hospital,,United States,United States of America,Chicago,hospital
0,Eric & Kathy's 36 Hour Radiothon,Chicago,41.89760813888216,-87.62332110393366,Hospital,225 E Chicago Ave,United States,United States of America,Chicago,hospital
0,Prentice 13th Flr Nourishment Room,Chicago,41.89604,-87.620858,Hospital,,United States,United States of America,Chicago,hospital
0,"Larry Faines, MD",Chicago,41.89307451657944,-87.62195185975514,Emergency Room,211 E Ontario St Ste 200,United States,United States of America,Chicago,hospital
0,"Matthew A. Kippenhan, MD",Chicago,41.89307909140433,-87.62193944047544,Emergency Room,211 E Ontario St Ste 200,United States,United States of America,Chicago,hospital
0,"Howard S. Kim, MD",Chicago,41.89311321345413,-87.62193992381191,Emergency Room,211 E Ontario St Ste 200,United States,United States of America,Chicago,hospital
0,"Demetrios N. Kyriacou, MD, PhD",Chicago,41.893132249296514,-87.62194337830431,Emergency Room,211 E Ontario St Ste 200,United States,United States of America,Chicago,hospital
0,Lynn Sage Comprehensive Breast Center,Chicago,41.896280139432704,-87.62104145767205,Hospital,"250 E Superior St, 4th Fl, Suite 420",United States,United States of America,Chicago,hospital
0,Prentice Women's Hospital Postpartum #1363,,41.89633466937689,-87.62091569790663,Hospital,,United States,United States of America,Chicago,hospital
0,Northwestern Obstetrics & Gynecology Ultrasound,Chicago,41.89518483124652,-87.6173194040111,Hospital,,United States,United States of America,Chicago,hospital
0,North Shore Imaging Center,Chicago,41.89462,-87.616064,Hospital,680 N Lake Shore Dr,United States,United States of America,Chicago,hospital
0,Prentice Woman's Hospital Room 1268,Chicago,41.896501,-87.620913,Hospital,,United States,United States of America,Chicago,hospital
0,Beryl Institute Patient Experience Roundtable,Chicago,41.896482,-87.62079,Hospital,,United States,United States of America,Chicago,hospital
0,Prentice Labor & Delivery,Chicago,41.89655267073021,-87.62083992053445,Hospital,,United States,United States of America,Chicago,hospital
0,1170,Chicago,41.896514,-87.620603,Hospital,,United States,United States of America,Chicago,hospital
0,Ann And Robert H. Lurie Children's Hospital Of Chicago Family Life Center,Chicago,41.896759033203125,-87.62142181396484,Hospital,225 E Chicago Ave,United States,United States of America,Chicago,hospital
0,Northwestern Radiology,Chicago,41.89719179996161,-87.622212415474,Hospital,201 E Huron St,United States,United States of America,Chicago,hospital
0,CRD Healing Therapies,Chicago,41.879409,-87.648792,Hospital,842 W Adams St,United States,United States of America,Chicago,hospital
0,Northwestern Medical Imaging Center,Chicago,41.89449687701397,-87.62306123971945,Hospital,"676 N Saint Clair St, 2nd & 3rd Fl",United States,United States of America,Chicago,hospital
0,"Carl J. Gustas Sr, DO",Chicago,41.89453081871494,-87.62308537960052,Hospital,"676 N Saint Clair St, Arkes Pavilion, Ste 900",United States,United States of America,Chicago,hospital
0,"Elyse T Esrig, MD",Chicago,41.893714,-87.620042,Hospital,635 N Fairbanks Ct,United States,United States of America,Chicago,hospital
0,Northwestern Arkes Family Pavilion,Chicago,41.89470542480332,-87.62305404286775,Hospital,676 N Saint Clair St,United States,United States of America,Chicago,hospital
0,"Ajay Bhasin, MD",Chicago,41.89456542594123,-87.62129321697097,Hospital,"251 E Huron St, Feinberg Pavilion, Ste 16-738",United States,United States of America,Chicago,hospital
0,"Joshua M. Lennon, MD",Chicago,41.89456342937215,-87.6212958992619,Hospital,"251 E Huron St, Feinberg Pavilion, Ste 16-738",United States,United States of America,Chicago,hospital
0,GAMELI DEKAYIE,Chicago,41.86535629999999,-87.6237062,Hospital,1319 S Michigan Ave,United States,United States of America,Chicago,hospital
0,DayOne Health Downtown,Chicago,41.89950607764764,-87.62629866600037,Hospital,60 E Delaware Pl Fl 15,United States,United States of America,Chicago,hospital
0,MedSpring Urgent Care - West Loop,Chicago,41.8789317,-87.64705359999999,Hospital,779 W Adams St,United States,United States of America,Chicago,hospital
0,Center for Sleep Medicine,Chicago,41.89507616286055,-87.61695683798816,Doctor's Office,680 N Lake Shore Dr,United States,United States of America,Chicago,hospital
0,"James Platis, MD",Chicago,41.89897103629854,-87.62725353240965,Hospital,58 E Walton St Ste 300,United States,United States of America,Chicago,hospital
0,NMPG Center for Integrative Medicine and Wellness,Chicago,41.89518452190366,-87.62310282148974,Medical Center,150 E Huron St Ste 1100,United States,United States of America,Chicago,hospital
0,Physicians Immediate Care,Chicago,41.87962681517651,-87.64290887868509,Doctor's Office,600 W Adams St,United States,United States of America,Chicago,hospital
